"Bloco";"Tratamento";"Comprimento.raiz"
"BL I";"[] 1,5";10,1
"BL I";"[] 1,5";10,4
"BL I";"[] 1,5";19
"BL I";"[] 2,0";17
"BL I";"[] 2,0";13
"BL I";"[] 2,0";12,5
"BL I";"[] 2,5";13
"BL I";"[] 2,5";13,2
"BL I";"[] 2,5";13,7
"BL II";"[] 1,5";21
"BL II";"[] 1,5";19,2
"BL II";"[] 1,5";22,5
"BL II";"[] 2,0";9,5
"BL II";"[] 2,0";16
"BL II";"[] 2,0";11
"BL II";"[] 2,5";15,2
"BL II";"[] 2,5";9,5
"BL II";"[] 2,5";16
"BL III";"[] 1,5";12,3
"BL III";"[] 1,5";16,4
"BL III";"[] 1,5";12,5
"BL III";"[] 2,0";11,5
"BL III";"[] 2,0";11
"BL III";"[] 2,0";23,5
"BL III";"[] 2,5";12
"BL III";"[] 2,5";14
"BL III";"[] 2,5";11,5
"BL IV";"[] 1,5";13,3
"BL IV";"[] 1,5";19
"BL IV";"[] 1,5";16,5
"BL IV";"[] 2,0";28
"BL IV";"[] 2,0";22
"BL IV";"[] 2,0";17,8
"BL IV";"[] 2,5";21,5
"BL IV";"[] 2,5";13,5
"BL IV";"[] 2,5";21,5
"BL V";"[] 1,5";11,5
"BL V";"[] 1,5";11
"BL V";"[] 1,5";22
"BL V";"[] 2,0";14
"BL V";"[] 2,0";22
"BL V";"[] 2,0";22
"BL V";"[] 2,5";18,3
"BL V";"[] 2,5";12,5
"BL V";"[] 2,5";16,5
"BL VI";"[] 1,5";10,4
"BL VI";"[] 1,5";18
"BL VI";"[] 1,5";14,5
"BL VI";"[] 2,0";13,2
"BL VI";"[] 2,0";13,5
"BL VI";"[] 2,0";13,4
"BL VI";"[] 2,5";14,7
"BL VI";"[] 2,5";20,5
"BL VI";"[] 2,5";18
